stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,municipality_id,stop_desc,stop_timezone,wheelchair_boarding,platform_code,vehicle_type
205150,,Lauritsala P,61.072417800000004,28.2645595,1,http://405,0,,405,,,0,,
205151,,Eteläkatu keskustasta,61.0462502,28.232044300000002,1,http://405,0,,405,,,0,,
205153,,Hakalinkatu 11 keskustasta,61.0743475,28.276853000000003,1,http://405,0,,405,,,0,,
205154,,Hakalinkatu 28a keskustaan,61.073702100000006,28.284179,1,http://405,0,,405,,,0,,
205155,,Hakalinkatu 37 keskustasta,61.073531900000006,28.284578900000003,1,http://405,0,,405,,,0,,
205156,,Hakalinkatu 8 keskustaan,61.074471700000004,28.2777664,1,http://405,0,,405,,,0,,
205157,,Hakalintie-Kartanontie keskustaan,61.0754651,28.274080200000004,1,http://405,0,,405,,,0,,
205158,,Hallituskatu 1 keskustasta,61.069777900000005,28.250619900000004,1,http://405,0,,405,,,0,,
205159,,Hallituskatu 15 keskustasta,61.0709919,28.254983700000004,1,http://405,0,,405,,,0,,
205160,,Hallituskatu 2 keskustaan,61.069885400000004,28.2503601,1,http://405,0,,405,,,0,,
205161,,Hallituskatu 24 keskustaan,61.072767500000005,28.263225400000003,1,http://405,0,,405,,,0,,
205162,,Hallituskatu 35 keskustasta,61.07259320000001,28.263137600000004,1,http://405,0,,405,,,0,,
205163,,Hallituskatu 41 keskustasta,61.07299080000001,28.267312800000003,1,http://405,0,,405,,,0,,
205164,,Hallituskatu 42 keskustaan,61.073266100000005,28.268989200000004,1,http://405,0,,405,,,0,,
205165,,Hallituskatu keskustaan,61.0710776,28.254878500000004,1,http://405,0,,405,,,0,,
205166,,Hallituskatu-Itsenäisyydenkatu keskustaan,61.0718936,28.257852600000003,1,http://405,0,,405,,,0,,
205167,,Hallituskatu-Itsenäisyydenkatu keskustasta,61.0720438,28.258961300000003,1,http://405,0,,405,,,0,,
205168,,Harapaisentie 25 P,61.0514178,28.210698900000004,1,http://405,0,,405,,,0,,
205170,,Harapaisentie 9 P,61.049606000000004,28.207644000000002,1,http://405,0,,405,,,0,,
205172,,Helsingintie-Huhtiniemi keskustaan,61.05169610000001,28.1445545,1,http://405,0,,405,,,0,,
205173,,Helsingintie-Huhtiniemi keskustasta,61.0520009,28.145130500000004,1,http://405,0,,405,,,0,,
205174,,Helsingintie-Kourula keskustaan,61.0500071,28.134421000000003,1,http://405,0,,405,,,0,,
205175,,Helsingintie-Kourula keskustasta,61.050263400000006,28.134217500000002,1,http://405,0,,405,,,0,,
